Date,Energy Consumption (TWh),GDP (Trillion US$),Population
1985,22.77,650540000000,54812660
1986,20.97,692850000000,56109838
1987,22.64,777280000000,57415175
1988,24.54,910280000000,58775923
1989,25.57,1050000000000,60127343
1990,26.33,1230000000000,61558898
1991,25.65,1420000000000,63039751
1992,25.87,1540000000000,64543525
1993,26.58,1680000000000,66083321
1994,30.46,1930000000000,67650283
1995,33.55,2180000000000,69250468
1996,36.71,2480000000000,70944969
1997,39.8,2770000000000,72718837
1998,41.58,3050000000000,74491918
1999,41.43,3350000000000,76249064
2000,45.3,3700000000000,77958223
2001,47.05,4020000000000,79626086
2002,48.46,4350000000000,81285572
2003,52.94,4720000000000,82942837
2004,55.94,5320000000000,84607501
2005,56.57,5920000000000,86261250
2006,56.78,6550000000000,87901835
2007,59.62,7200000000000,89561377
2008,60.82,8050000000000,91252326
2009,61.92,8390000000000,92946951
2010,67.73,9400000000000,94636700
2011,69.15,10140000000000,96377913
2012,72.89,11060000000000,98032317
2013,75.23,12050000000000,99700107
2014,77.23,13210000000000,101325201
2015,82.4,13940000000000,103301365
2016,90.79,15130000000000,104875266
2017,94.36,16560000000000,106738501
2018,99.74,18270000000000,108568836
2019,106.03,19520000000000,110380804
2020,101.75,17950000000000,112190977
2021,106.12,19410000000000,113880328
2022,113.01,22030000000000,115559009
2023,118.26,24320000000000,117337368
